,food,green,wood,paper_cardboard,textiles,total
2007-11-01,335121.68717885466,83196.41184962021,112682.83979566918,249121.13401389407,32523.1758394936,812645.2486775318
2007-12-01,347315.27859718946,86236.48924507367,116837.38986622519,258349.2286525651,33733.74865855934,842472.1350196127
2008-01-01,347415.8386770027,86274.80682633264,116927.53895330345,258593.15612609076,33771.62654395038,842982.96712668
2008-02-01,325983.3340875183,80964.82126010365,109766.54706778847,242797.67821244357,31714.394370232523,791226.7749980865
2008-03-01,347087.1438713906,86240.55611794883,117011.7037205902,258926.13342888225,33834.50565386065,843100.0427926725
2008-04-01,339255.9893735509,84285.5658376046,114338.22991565533,252991.55010220496,33056.97817305178,823928.3134020676
2008-05-01,349130.72262805945,86774.42408310171,117811.03648955825,260782.54412953655,34088.951415794785,848587.6787460508
2008-06-01,341225.3978623332,84800.27033486826,115109.51093906412,254783.55926990262,33302.699527663535,829221.4379338317
2008-07-01,351157.45474296773,87304.32722700527,118605.74370917799,262629.73906417703,34342.3437033576,854039.6084466856
2008-08-01,352174.08666889963,87570.45511578291,119005.7717056064,263560.55193010793,34470.16192337287,856781.0273437698
2008-09-01,344066.7556011784,85545.83554834056,116234.85915118956,257406.82815146036,33663.51777493071,836917.7962270996
2008-10-01,354081.5159583339,88071.90814519122,119765.2722359006,266883.3761926721,34714.42598010514,863516.498512203
2008-11-01,345982.59755886404,86047.87363684921,116991.0645499261,259168.25394410104,33905.64739043479,842095.4370801752
2008-12-01,356053.12237967685,88588.77085549271,120544.44593738145,268699.0459228061,34964.11440159468,868849.4994969519
2009-01-01,360463.4981340071,89676.04906926955,122000.96996140225,270356.9379001125,35381.66712748562,877879.122192277
2009-02-01,326474.0508666324,81232.51348908538,110549.51252607351,245022.0752624094,32071.767863281675,795349.9200074823
2009-03-01,360069.6722518428,89626.06834055876,122065.92413629842,270650.85547227855,35439.99637381194,877852.5165747905
2009-04-01,349326.47926651256,86965.90930191564,118483.0991427148,262753.7788272402,34412.28643733008,851941.5529757133
2009-05-01,361998.008596575,90132.9516989451,122834.05669866019,272445.3484990611,35687.38963659353,883097.7551298349
2009-06-01,351184.64972623065,87454.55884315385,119224.23554630611,264485.94528788363,34651.189320176825,857000.5787237511
2009-07-01,363910.1861496576,90636.01310189132,123597.68567311167,274230.8238714108,35933.74691539695,888308.4557114684
2009-08-01,364882.5851831467,90891.83726074456,123986.08779156479,275139.11127912195,36059.09659486715,890958.7181094452
2009-09-01,356256.46743833483,88734.30590370118,121023.4267826881,268547.88363466074,35193.51031937325,869755.594078758
2009-10-01,369064.9852616039,91937.85348495527,125431.23879510457,278374.09927563625,36487.430220728966,901295.607038029
2009-11-01,358088.9067312018,89216.89533052297,121757.64110004112,270266.6553118257,35430.9604404469,874761.0589140385
2009-12-01,370950.740240406,92434.68821558706,126187.74753178854,280145.7894007325,36732.29168855712,906451.2570770712
2010-01-01,371902.96757969505,92685.73133469539,126570.49241253486,281042.7255240031,36856.334563191034,909058.2514141195
2010-02-01,336768.7894856222,83942.02809440269,114666.41401795355,254653.11670776957,33401.39359609623,823431.7419018442
2010-03-01,371423.78493129835,92615.55039343824,126611.70071822515,281289.283064911,36909.26153407221,908849.580641945
2010-04-01,360274.0953194363,89849.43676830892,122871.09032426128,273026.90165279224,35831.65158416249,881853.1756489612
2010-05-01,373270.9345596741,93103.22153007163,127357.33464806183,283039.12086454383,37151.603595667,913922.2151980185
2010-06-01,362054.0845451994,90319.57630522981,123590.52975728681,274715.9838953487,36065.67872504466,886745.8532281094
2010-07-01,375102.7134119194,93587.23886904186,128098.61986102379,284780.2074610769,37392.93524447361,918961.7148475356
2010-08-01,376027.6833120864,93831.80521250573,128473.66235644219,285661.6498318148,37515.18993429413,921509.9906471432
2010-09-01,366996.34161248594,91568.58307857194,125353.35058500532,278705.0725007938,36599.644107462555,899222.9918843196
2010-10-01,380117.3411428877,94855.79419904546,129892.64074302351,288844.01302389347,37937.45257387619,931647.2416827264
